timestamp,market_title,search_query,response_length,response_preview
2025-12-12T04:09:22.796606,Will Nottingham Forest FC win on 2025-12-14?,Will Nottingham Forest FC win on 2025-12-14?,1668,"Nottingham Forest FC is scheduled to play against Tottenham Hotspur on Sunday, December 14, 2025, at 6:00 AM PST. 
## EPL Schedule
- Tottenham Hotspur @ Nottingham Forest on Sunday, Dec 14, 2025 at 06"
2025-12-12T04:09:30.760487,Will Levante UD win on 2025-12-14?,Will Levante UD win on 2025-12-14?,2945,"Levante UD is set to face Villarreal CF on December 14, 2025, at the Ciutat de València Stadium. The match is scheduled to kick off at 18:30 local time. ([futbol24.com](https://www.futbol24.com/bettin"
2025-12-12T04:20:01.804430,LoL: Dplus KIA vs Hanwha Life Esports (BO5),LoL: Dplus KIA vs Hanwha Life Esports (BO5),2574,"Dplus KIA and Hanwha Life Esports are set to face off in a Best-of-5 series at the KeSPA Cup 2025 Playoffs on December 12, 2025. Both teams have demonstrated strong performances leading up to this mat"
2025-12-12T04:20:08.204155,Lighter market cap (FDV) >$3B one day after launch?,Lighter market cap (FDV) >$3B one day after launch?,1777,"The prediction market on Polymarket regarding Lighter's Fully Diluted Valuation (FDV) exceeding $3 billion one day after launch is currently trading at a 43% probability, with the ""Yes"" outcome priced"
2025-12-12T04:20:13.581526,Will Google Gemini 3 score at least 40% on Humanity’s Last Exam by January 31?,Will Google Gemini 3 score at least 40% on Humanity’s Last Exam by January 31?,1633,"As of December 12, 2025, Google's Gemini 3 AI model has demonstrated significant advancements in AI reasoning capabilities, particularly on the ""Humanity's Last Exam"" (HLE) benchmark. The standard Gem"
2025-12-12T04:25:42.610260,Will Arsenal FC win on 2025-12-13?,Will Arsenal FC win on 2025-12-13?,1666,"Arsenal FC is set to face Wolverhampton Wanderers on Saturday, December 13, 2025, at the Emirates Stadium. 

**Recent Performance:**

- **Arsenal FC:**
  - On December 6, 2025, Arsenal suffered a 2-1 "
2025-12-12T04:25:48.098016,Will Google have the top AI model on December 31?,Will Google have the top AI model on December 31?,2520,"As of December 12, 2025, Google's AI model, Gemini 3 Deep Think, is considered one of the most advanced in the industry. Launched in early December, Gemini 3 Deep Think is designed for complex reasoni"
2025-12-12T04:25:54.843066,Army vs. Navy,Army vs. Navy,2630,"The 126th Army-Navy Game is scheduled for Saturday, December 13, 2025, at M&T Bank Stadium in Baltimore, Maryland. ([usna.edu](https://www.usna.edu/PAO/events/2025/12/Army-Navy_Football_Game.php?utm_s"
2025-12-12T04:36:25.707950,Will Trump release the Epstein files by December 19?,Will Trump release the Epstein files by December 19?,1949,"As of December 12, 2025, the U.S. Department of Justice is mandated to release all unclassified documents related to Jeffrey Epstein by December 19, 2025, under the Epstein Files Transparency Act sign"
2025-12-12T04:36:33.010016,"Will Elon Musk post 460-479 tweets from December 5 to December 12, 2025?","Will Elon Musk post 460-479 tweets from December 5 to December 12, 2025?",2143,"Elon Musk's tweeting frequency has varied significantly over time. Historically, he averaged approximately 12 posts per day since June 2009. However, during periods of heightened activity, such as aro"
2025-12-12T04:36:37.949385,"Will Elon Musk post 500+ tweets from December 5 to December 12, 2025?","Will Elon Musk post 500+ tweets from December 5 to December 12, 2025?",1955,"As of December 12, 2025, there is no publicly available data indicating that Elon Musk has posted 500 or more tweets between December 5 and December 12, 2025. Recent reports suggest a decline in X (fo"
2025-12-12T04:42:09.595930,Will the next US x Venezuela military engagement occur on December 13?,Will the next US x Venezuela military engagement occur on December 13?,3527,"As of December 12, 2025, there is no official confirmation of a scheduled U.S.-Venezuela military engagement on December 13. However, recent developments have significantly heightened tensions between"
2025-12-12T04:42:17.369175,Will the next US x Venezuela military engagement occur on December 19?,Will the next US x Venezuela military engagement occur on December 19?,3296,"As of December 12, 2025, there is no confirmed information indicating that a U.S.-Venezuela military engagement is scheduled for December 19. Recent developments, however, have significantly heightene"
2025-12-12T04:42:23.074817,Yoon out of custody by March 31?,Yoon out of custody by March 31?,1804,"As of December 12, 2025, former South Korean President Yoon Suk Yeol remains in custody, with no official announcements indicating his release by March 31, 2026. Yoon was re-arrested on July 10, 2025,"
2025-12-12T04:47:53.294589,Russia x Ukraine ceasefire in 2025?,Russia x Ukraine ceasefire in 2025?,4906,"As of December 12, 2025, the conflict between Russia and Ukraine remains unresolved, with recent developments indicating cautious progress toward a potential ceasefire.

**Recent Developments:**

- **"
2025-12-12T04:48:01.194234,Maduro out in 2025?,Maduro out in 2025?,4103,"As of December 12, 2025, there is no definitive evidence indicating that Venezuelan President Nicolás Maduro will step down within the year. Recent developments, however, suggest increasing internatio"
2025-12-12T04:48:08.440833,Counter-Strike: OG vs 500 (BO3),Counter-Strike: OG vs 500 (BO3),2142,"OG Esports is set to face Team 500 in a best-of-three (BO3) match during the CCT Season 3 European Series #12 on December 12, 2025. ([strafe.com](https://www.strafe.com/match/og-gaming-vs-500-round-of"
2025-12-12T04:53:40.419296,Spread: RB Leipzig (-1.5),Spread: RB Leipzig (-1.5),2871,"RB Leipzig's recent performances and team dynamics provide valuable context for assessing their potential to cover a -1.5 goal spread in upcoming matches.

**Recent Performance:**
On December 6, 2025,"
2025-12-12T04:53:50.625189,Spread: Nuggets (-10.5),Spread: Nuggets (-10.5),3656,"The Denver Nuggets are set to face the Sacramento Kings on December 12, 2025, with the Nuggets favored by 10.5 points. ([statsinsider.com.au](https://www.statsinsider.com.au/news/kings-vs-nuggets-pred"
2025-12-12T04:53:57.713671,Spread: Sabres (-1.5),Spread: Sabres (-1.5),2147,"The Buffalo Sabres are scheduled to play the Seattle Kraken on Sunday, December 14, 2025, at 5:00 PM PST. 

**Recent Performance:**
- **December 10, 2025:** The Sabres snapped a three-game losing stre"
2025-12-12T04:59:32.375668,Dota 2: MOUZ vs Virtus.pro (BO3),Dota 2: MOUZ vs Virtus.pro (BO3),3026,"As of December 12, 2025, MOUZ and Virtus.pro are set to face each other in a Best of 3 series during the group stage of DreamLeague Season 27. ([bo3.gg](https://bo3.gg/dota2/matches/mouz-dota2-vs-virt"
2025-12-12T04:59:39.095062,Will Graham Platner be the Democratic nominee for Senate in Maine?,Will Graham Platner be the Democratic nominee for Senate in Maine?,3933,"As of December 12, 2025, Graham Platner, a Marine veteran and oyster farmer from Sullivan, Maine, is actively campaigning for the Democratic nomination for the U.S. Senate seat currently held by Repub"
2025-12-12T04:59:45.257782,"Will Elon Musk post 480-499 tweets from December 5 to December 12, 2025?","Will Elon Musk post 480-499 tweets from December 5 to December 12, 2025?",1831,"Elon Musk's tweeting frequency has varied significantly over time. Historically, he averaged approximately 12 posts per day since June 2009. However, during specific periods, his activity has spiked d"
2025-12-12T05:05:17.959964,Will Jensen Huang be the Financial Times Person of the Year for 2025?,Will Jensen Huang be the Financial Times Person of the Year for 2025?,2661,"As of December 12, 2025, there is no official announcement from the Financial Times regarding its Person of the Year for 2025. However, recent developments provide context that may influence this sele"
2025-12-12T05:05:25.090573,Zelenskyy out as Ukraine president by end of 2026?,Zelenskyy out as Ukraine president by end of 2026?,2795,"As of December 12, 2025, there is no official announcement or credible evidence indicating that Ukrainian President Volodymyr Zelenskyy plans to resign by the end of 2026. Recent developments, however"
2025-12-12T05:05:31.931206,Will Russia capture Huliaipole by December 31?,Will Russia capture Huliaipole by December 31?,3034,"As of December 12, 2025, the situation in Huliaipole, Ukraine, remains critical, with Russian forces intensifying efforts to capture the town by December 31.

**Recent Developments:**

- **Russian Adv"
2025-12-12T05:11:01.514913,Will Maduro's rule survive a US military engagement?,Will Maduro's rule survive a US military engagement?,3377,"Recent developments indicate escalating tensions between the United States and Venezuela, particularly concerning President Nicolás Maduro's regime.

**U.S. Military Actions:**

- **Oil Tanker Seizure"
2025-12-12T05:11:09.399704,Poilievre out as leader of Conservatives before 2027?,Poilievre out as leader of Conservatives before 2027?,2458,"Recent developments indicate increasing challenges for Conservative Party leader Pierre Poilievre, raising questions about his tenure ahead of the 2027 federal election.

**Defections and Party Dynami"
2025-12-12T05:11:16.211437,Counter-Strike: FURIA vs Natus Vincere - Map 1 Winner,Counter-Strike: FURIA vs Natus Vincere - Map 1 Winner,2205,"FURIA Esports and Natus Vincere (NAVI) have recently faced each other in several high-profile Counter-Strike matches, with FURIA emerging victorious in their most recent encounter.

**Recent Match Out"
2025-12-12T05:16:47.688065,Will Trump pardon Maduro by December 31?,Will Trump pardon Maduro by December 31?,1673,"As of December 12, 2025, there is no official indication that President Donald Trump plans to pardon Venezuelan President Nicolás Maduro by December 31, 2025. Recent U.S. actions, including the seizur"
2025-12-12T05:16:55.092461,Games Total: O/U 3.5,Games Total: O/U 3.5,2138,"The ""Over/Under 3.5"" bet in sports wagering involves predicting whether the total number of goals, points, or games in a match will be over or under a set threshold of 3.5. This type of bet is prevale"
2025-12-12T05:17:01.324874,Will Anthropic have the best AI model for coding at the end of 2025?,Will Anthropic have the best AI model for coding at the end of 2025?,2186,"As of December 12, 2025, Anthropic has made significant advancements in AI models for coding, positioning itself as a strong contender in the field. In September 2025, the company introduced Claude So"
2025-12-12T05:22:33.076428,Will Norway win the most medals in the 2026 Winter Olympics?,Will Norway win the most medals in the 2026 Winter Olympics?,3016,"As of December 12, 2025, Norway is a strong contender to lead the medal tally at the upcoming 2026 Winter Olympics in Milan-Cortina. The nation has demonstrated consistent excellence in winter sports,"
2025-12-12T05:22:40.160166,Will Israel launch a major ground offensive in Lebanon by December 31?,Will Israel launch a major ground offensive in Lebanon by December 31?,3684,"As of December 12, 2025, there is no concrete evidence indicating that Israel plans to launch a major ground offensive in Lebanon by December 31. Recent developments suggest a focus on diplomatic and "
2025-12-12T05:22:47.970188,Call of Duty: Vancouver Surge vs Toronto KOI (BO5),Call of Duty: Vancouver Surge vs Toronto KOI (BO5),2826,"The upcoming Call of Duty League (CDL) match between Vancouver Surge and Toronto KOI is scheduled for December 12, 2025, at 11:00 PM PST. ([stake.com](https://stake.com/sports/call-of-duty/internation"
2025-12-12T05:28:20.025707,Will Marty Supreme win Best Picture at the 98th Academy Awards?,Will Marty Supreme win Best Picture at the 98th Academy Awards?,3197,"As of December 12, 2025, ""Marty Supreme"" is considered a strong contender for Best Picture at the 98th Academy Awards, though it faces significant competition.

**Recent Developments:**

- **Critical "
2025-12-12T05:28:26.850762,Will Hamnet win Best Picture at the 98th Academy Awards?,Will Hamnet win Best Picture at the 98th Academy Awards?,2889,"As of December 12, 2025, ""Hamnet,"" directed by Chloé Zhao and starring Jessie Buckley and Paul Mescal, has garnered significant critical acclaim and industry recognition, positioning it as a strong co"
2025-12-12T05:28:33.625132,Will Sinners win Best Picture at the 98th Academy Awards?,Will Sinners win Best Picture at the 98th Academy Awards?,3016,"""Sinners,"" directed by Ryan Coogler and starring Michael B. Jordan, has garnered significant attention in the lead-up to the 98th Academy Awards. The film, set in 1932 and blending horror with social "
2025-12-12T05:34:04.788357,Will Sinners win Best Picture at the 98th Academy Awards?,Will Sinners win Best Picture at the 98th Academy Awards?,2892,"""Sinners,"" directed by Ryan Coogler and starring Michael B. Jordan, has garnered significant attention in the lead-up to the 98th Academy Awards. The film, set in 1932 Mississippi, uniquely blends hor"
2025-12-12T05:34:10.673300,Dota 2: Tundra Esports vs Aurora (BO3),Dota 2: Tundra Esports vs Aurora (BO3),1937,"Tundra Esports and Aurora Gaming have a competitive history in Dota 2, with their most recent encounter being a 2–1 victory for Aurora in the Group C tiebreaker at the Esports World Cup 2025. ([egamer"
2025-12-12T05:34:16.669994,"Will Elon Musk post 420-439 tweets from December 9 to December 16, 2025?","Will Elon Musk post 420-439 tweets from December 9 to December 16, 2025?",1864,"Elon Musk's tweeting activity has been notably high, with recent analyses indicating an average of 68 to 110 tweets per day over the past year. ([twitter.com](https://twitter.com/i/grok/share/BKwzICm9"
2025-12-12T05:39:48.564094,Virtus Bologna vs. Hapoel Tel Aviv,Virtus Bologna vs. Hapoel Tel Aviv,2771,"Virtus Bologna and Hapoel Tel Aviv are set to face each other in a EuroLeague basketball game on December 12, 2025, at Virtus Segafredo Arena in Bologna. ([sofascore.com](https://www.sofascore.com/it/"
2025-12-12T05:39:54.807710,Will FaZe Clan win the StarLadder Budapest Major 2025?,Will FaZe Clan win the StarLadder Budapest Major 2025?,1753,"As of December 12, 2025, the StarLadder Budapest Major 2025 is nearing its conclusion, with the playoffs set to commence at the MVM Dome in Budapest. FaZe Clan has demonstrated resilience throughout t"
2025-12-12T05:40:02.278041,Will Russia capture Kostyantynivka by March 31?,Will Russia capture Kostyantynivka by March 31?,2774,"As of December 12, 2025, the situation in Kostiantynivka, Ukraine, remains fluid, with ongoing military engagements and strategic importance.

**Recent Developments:**

- **Russian Advances:** In earl"
2025-12-12T05:45:36.801870,Spread: Panthers (-3.5),Spread: Panthers (-3.5),2516,"The Carolina Panthers are set to face the New Orleans Saints on Sunday, December 14, 2025, at Caesars Superdome in New Orleans. The Panthers are favored by 2.5 points, with moneyline odds of -122, whi"
2025-12-12T05:45:44.927782,Commanders vs. Giants,Commanders vs. Giants,2996,"
## NFL Schedule
- Washington Commanders @ New York Giants on Sunday, Dec 14, 2025 at 10:00 AM PST


The upcoming game between the Washington Commanders and the New York Giants on December 14, 2025, i"
2025-12-12T05:45:53.789827,Spread: 76ers (-7.5),Spread: 76ers (-7.5),4043,"The Philadelphia 76ers are set to host the Indiana Pacers on Friday, December 12, 2025, at 7:00 PM ET at Xfinity Mobile Arena in Philadelphia. The 76ers are favored by 7.5 points in this matchup.

**R"
2025-12-12T09:08:54.193592,LoL: Dplus KIA vs Hanwha Life Esports - Game 2 Winner,LoL: Dplus KIA vs Hanwha Life Esports - Game 2 Winner,1674,"As of December 12, 2025, there is no publicly available information regarding the outcome of Game 2 between Dplus KIA and Hanwha Life Esports in the KeSPA Cup 2025 Playoffs. The match is scheduled to "
2025-12-12T09:09:00.267641,Will Apple be the second-largest company in the world by market cap on December 31?,Will Apple be the second-largest company in the world by market cap on December 31?,2006,"As of December 12, 2025, Apple's market capitalization is approximately $3.01 trillion, positioning it as the world's second-largest company by market cap. This valuation is based on a stock price of "
2025-12-12T09:09:08.577427,"Will China invade Taiwan by March 31, 2026?","Will China invade Taiwan by March 31, 2026?",3467,"As of December 12, 2025, the likelihood of China invading Taiwan by March 31, 2026, remains low, based on recent developments and expert analyses.

**Recent Developments:**

- **U.S. National Security"
2025-12-12T09:14:48.301303,"Will China invade Taiwan by March 31, 2026?","Will China invade Taiwan by March 31, 2026?",2911,"As of December 12, 2025, the likelihood of China invading Taiwan by March 31, 2026, remains low, according to various analyses and recent developments.

**Expert Analyses:**

- **BCA Research:** In Ap"
2025-12-12T09:14:55.699793,Will Half-Life 3 be announced before 2026?,Will Half-Life 3 be announced before 2026?,2894,"As of December 12, 2025, there is no official confirmation from Valve regarding the announcement of Half-Life 3 before 2026. However, recent developments have intensified speculation about a potential"
2025-12-12T09:15:02.460389,"Will Elon Musk post 320-339 tweets from December 9 to December 16, 2025?","Will Elon Musk post 320-339 tweets from December 9 to December 16, 2025?",2255,"As of December 12, 2025, there is no specific information regarding Elon Musk's planned tweet count between December 9 and December 16, 2025. However, several factors can provide context to assess the"
2025-12-12T09:20:33.889151,"Will Elon Musk post 320-339 tweets from December 9 to December 16, 2025?","Will Elon Musk post 320-339 tweets from December 9 to December 16, 2025?",1919,"As of December 12, 2025, Elon Musk's Twitter activity has been notably high, with recent prediction markets indicating a significant volume of tweets between December 9 and December 16, 2025. For inst"
2025-12-12T09:20:40.112611,Will 1. FC Union Berlin vs. RB Leipzig end in a draw?,Will 1. FC Union Berlin vs. RB Leipzig end in a draw?,2590,"The upcoming Bundesliga match between 1. FC Union Berlin and RB Leipzig is scheduled for Friday, December 12, 2025, at 7:30 PM local time at Stadion An der Alten Försterei in Berlin.

**Recent Form:**"
2025-12-12T09:20:47.655297,US forces in Venezuela by December 31?,US forces in Venezuela by December 31?,4178,"As of December 12, 2025, the United States has significantly increased its military presence near Venezuela, leading to heightened tensions in the region.

**Recent Developments:**

- **Military Deplo"
2025-12-12T09:26:21.632075,Will 'Arc Raiders' win Game of the Year in the 2025 Steam Awards?,Will 'Arc Raiders' win Game of the Year in the 2025 Steam Awards?,3328,"As of December 12, 2025, the Steam Awards' Game of the Year voting is ongoing, with results to be announced on December 31, 2025. ""Arc Raiders"" is among the nominees, but current indicators suggest it"
2025-12-12T09:26:28.594462,Over $1B committed to the Gensyn public sale?,Over $1B committed to the Gensyn public sale?,2141,"Gensyn, a decentralized AI computing protocol, has announced a public sale of its $AI tokens, scheduled to begin on December 15, 2025. The sale will offer 300 million tokens, representing 3% of the to"
2025-12-12T09:26:35.773457,Gensyn FDV above $600M one day after launch?,Gensyn FDV above $600M one day after launch?,2591,"Gensyn, a decentralized AI computing infrastructure, is preparing for its upcoming token sale, scheduled to begin on December 15, 2025. The sale will utilize an English auction format on the Sonar pla"
2025-12-12T09:32:08.711800,Will Alphabet be the third-largest company in the world by market cap on December 31?,Will Alphabet be the third-largest company in the world by market cap on December 31?,1688,"As of December 12, 2025, Alphabet Inc. (GOOGL) has a market capitalization of approximately $2.94 trillion, positioning it as the fourth-largest company globally by market cap. The top three companies"
2025-12-12T09:32:15.671428,Will Trump refrain from announcing a next Fed Chair in 2025?,Will Trump refrain from announcing a next Fed Chair in 2025?,3186,"As of December 12, 2025, President Donald Trump has not yet announced his choice for the next Federal Reserve Chair, a position currently held by Jerome Powell, whose term ends in May 2026. The select"
2025-12-12T09:32:23.045835,Will the next Prime Minister of Hungary be Viktor Orbán?,Will the next Prime Minister of Hungary be Viktor Orbán?,4299,"As Hungary approaches its parliamentary elections in April 2026, speculation about Prime Minister Viktor Orbán's potential re-election is intensifying. Recent developments provide insight into the pol"
2025-12-12T09:38:01.715292,Will the next Prime Minister of Hungary be Viktor Orbán?,Will the next Prime Minister of Hungary be Viktor Orbán?,4272,"As Hungary approaches its 2026 parliamentary elections, the question of whether Viktor Orbán will remain Prime Minister is central to political discourse. Recent developments provide insight into the "
2025-12-12T09:38:08.511811,Spread: Mavericks (-8.5),Spread: Mavericks (-8.5),2382,"The Dallas Mavericks are currently facing significant challenges that may impact their performance against the Brooklyn Nets.

**Key Injuries:**

- **Luka Dončić:** Suffered a left calf strain on Dece"
2025-12-12T09:38:15.275124,LoL: Dplus KIA vs Hanwha Life Esports - Game 3 Winner,LoL: Dplus KIA vs Hanwha Life Esports - Game 3 Winner,2262,"As of December 12, 2025, the most recent match between Dplus KIA and Hanwha Life Esports occurred on May 24, 2025, during the LCK 2025 Rounds 1-2. In that series, Hanwha Life Esports secured a 2-1 vic"
2025-12-12T09:43:49.544859,"Will ""Avatar: Fire and Ash"" score at least 65 on the Rotten Tomatoes Tomatometer?","Will ""Avatar: Fire and Ash"" score at least 65 on the Rotten Tomatoes Tomatometer?",4124,"As of December 12, 2025, ""Avatar: Fire and Ash"" has not yet been released, so its Rotten Tomatoes score is not available. However, early reactions from critics and industry insiders have been overwhel"
2025-12-12T09:43:55.247036,Will Charlie Kirk be on the Time 2025 person of the year shortlist?,Will Charlie Kirk be on the Time 2025 person of the year shortlist?,2170,"As of December 12, 2025, there is no official confirmation that Charlie Kirk is on Time magazine's 2025 Person of the Year shortlist. Time has named the ""Architects of AI"" as its 2025 Person of the Ye"
2025-12-12T09:44:00.488660,Counter-Strike: MOUZ vs FaZe - Map 1 Winner,Counter-Strike: MOUZ vs FaZe - Map 1 Winner,1826,"MOUZ and FaZe Clan are set to face off in the quarterfinals of the 2025 StarLadder Budapest Major on December 12, 2025, at 16:00 CET. ([strafe.com](https://www.strafe.com/match/mouz-vs-faze-clan-quart"
2025-12-12T09:54:38.925642,Will Lilo and Stitch be the second highest grossing movie of 2025?,Will Lilo and Stitch be the second highest grossing movie of 2025?,2709,"As of December 12, 2025, Disney's live-action remake of ""Lilo & Stitch"" has achieved significant box office success, becoming the second-highest-grossing film of the year. The film surpassed $1 billio"
2025-12-12T09:54:44.481144,"Will ""Avatar: Fire and Ash"" Opening Weekend Box Office be greater than 123m?","Will ""Avatar: Fire and Ash"" Opening Weekend Box Office be greater than 123m?",2740,"As of December 12, 2025, ""Avatar: Fire and Ash"" is projected to have a strong opening weekend at the domestic box office, with estimates ranging from $100 million to $130 million. ([hypebeast.com](htt"
2025-12-12T09:54:51.559210,Dota 2: BetBoom Team vs OG (BO3),Dota 2: BetBoom Team vs OG (BO3),1906,"BetBoom Team and OG are set to face off in a Best of 3 series today, December 12, 2025, at 11:00 AM UTC, as part of the ESL Dota 2 2025 DreamLeague Season 27 Main Event Group Stage - Round 3. ([strafe"
2025-12-12T10:00:24.677953,Games Total: O/U 2.5,Games Total: O/U 2.5,2067,"The ""Over/Under 2.5 Goals"" betting market is a popular wager in football (soccer) where bettors predict whether the total number of goals scored in a match will be over or under 2.5. If the total goal"
2025-12-12T10:00:29.596374,Will Infrared launch a token by December 31 2025?,Will Infrared launch a token by December 31 2025?,1143,"Infrared Finance, a decentralized finance (DeFi) infrastructure platform, has not publicly announced a specific date for launching its governance token. In March 2025, the company raised $14 million i"
2025-12-12T10:00:38.036170,Dota 2: Passion UA vs Team Tidebound (BO3),Dota 2: Passion UA vs Team Tidebound (BO3),2672,"The upcoming Dota 2 match between Passion UA and Team Tidebound is scheduled for December 12, 2025, at 11:00 AM UTC, as part of the ESL Dota2 2025 DreamLeague Season 27 Main Event Group Stage - Round "
2025-12-12T10:11:14.373841,Will Infrared launch a token by December 31 2025?,Will Infrared launch a token by December 31 2025?,1493,"Infrared Finance, a decentralized finance (DeFi) infrastructure platform, has been actively developing its presence within the Berachain ecosystem. In March 2025, Infrared raised $14 million in a Seri"
